microwatershed,pondshed,pondshed_area,pondshed_imperv_ccap,pervious_cn_mean,pervious_cn_sd,pond_id,pond_area,pervious_area,length_pondout_pshedout,length_longest
pineda,p1,81837.24,44424.38,78.81972,15.32468,4313,11049.72,26363.14,137.589,400
pineda,p2,33106.73,14279.06,79.0703,13.99412,4299,10382.54,8445.13,163.435,163.435
pineda,p3,69815.82,37557.16,81.90365,11.85,4296,8126.15,24132.51,102.532,579
pineda,p4,38641.33,14195.04,77.31361,16.99737,5711,2056.89,22389.4,38.687,207
pineda,p5,140806.23,15132.23,71.06604,20.33575,null,0,125674,0,450
pineda,p6,64736,17548.67,78.6189,15.24259,5819,13381.88,33805.45,70,280
pineda,p7,313141.84,131022.7,78.20612,16.12346,null,0,182119.14,0,1284
pineda,p8,197601.12,93408,79.62297,10.96898,4330,39139.76,65053.36,376.568,1145
pineda,p9,32914.74,10194.03,76.05852,23.78947,4323,801,21919.71,217.684,217.684
pineda,p10,49591.04,9331.026,73.9667,17.83372,4305,1602.44,38657.574,175.233,410
pineda,p11,20756.23,4248.011,79.4891,10.93318,4144,6632.39,9875.829,19.301,19.301
pineda,p12,107394.11,28205.07,73.69894,20.83811,4249,1676.73,77512.31,270,550
pineda,p13,29194.66,4627.883,86.68495,6.650167,4307,4805.84,19760.937,58.394,324
